customerID,gender,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,DeviceProtection,Contract,PaymentMethod, MonthlyCharges , TotalCharges ,Churn
 7639-LIAYI , Male ,52,1,1, DSL ,1,0, Two year , Credit card (automatic) , $79.75 ," $4,217.80 ",0
 2954-PIBKO , Female ,69,1,1, DSL ,1,1, Two year , Credit card (automatic) , $64.15 ," $4,254.10 ",0
 8012-SOUDQ , Female ,43,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $90.25 ," $3,838.75 ",0
 9420-LOJKX , Female ,15,1,0, Fiber optic ,1,0, Month-to-month , Credit card (automatic) , $99.10 ," $1,426.40 ",1
 6575-SUVOI , Female ,25,1,1, DSL ,1,0, Month-to-month , Credit card (automatic) , $69.50 ," $1,752.65 ",0
 7495-OOKFY , Female ,8,1,1, Fiber optic ,0,0, Month-to-month , Credit card (automatic) , $80.65 , $633.30 ,1
 4667-QONEA , Female ,60,1,0, DSL ,1,1, One year , Credit card (automatic) , $74.85 ," $4,456.35 ",0
 1658-BYGOY , Male ,18,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $95.45 ," $1,752.55 ",1
 8769-KKTPH , Female ,63,1,1, Fiber optic ,1,0, One year , Credit card (automatic) , $99.65 ," $6,311.20 ",0
 5067-XJQFU , Male ,66,1,1, Fiber optic ,0,1, One year , Electronic check , $108.45 ," $7,076.35 ",0
 5954-BDFSG , Female ,72,1,1, Fiber optic ,0,1, Two year , Credit card (automatic) , $107.50 ," $7,853.70 ",0
 0434-CSFON , Female ,47,1,1, Fiber optic ,0,1, Month-to-month , Electronic check , $100.50 ," $4,707.10 ",0
 1215-FIGMP , Male ,60,1,1, Fiber optic ,0,0, Month-to-month , Bank transfer (automatic) , $89.90 ," $5,450.70 ",0
 0557-ASKVU , Female ,18,1,0, DSL ,0,1, One year , Credit card (automatic) , $54.40 , $957.10 ,0
 5698-BQJOH , Female ,9,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $94.40 , $857.25 ,1
 5122-CYFXA , Female ,3,1,0, DSL ,0,0, Month-to-month , Electronic check , $75.30 , $244.10 ,0
 8627-ZYGSZ , Male ,47,1,1, Fiber optic ,0,0, One year , Electronic check , $78.90 ," $3,650.35 ",0
 3410-YOQBQ , Female ,31,1,0, DSL ,0,1, Two year , Mailed check , $79.20 ," $2,497.20 ",0
 7410-OIEDU , Male ,10,1,0, Fiber optic ,1,1, Month-to-month , Mailed check , $79.85 , $887.35 ,0
 2273-QCKXA , Male ,1,1,0, DSL ,0,0, Month-to-month , Mailed check , $49.05 , $49.05 ,0
 1891-QRQSA , Male ,64,1,1, Fiber optic ,1,1, Two year , Bank transfer (automatic) , $111.60 ," $7,099.00 ",0
 5630-AHZIL , Female ,3,1,0, DSL ,1,0, Month-to-month , Bank transfer (automatic) , $64.50 , $177.40 ,0
 2673-CXQEU , Female ,56,1,1, Fiber optic ,1,1, One year , Electronic check , $110.50 ," $6,139.50 ",0
 6416-JNVRK , Female ,46,1,0, DSL ,0,0, One year , Credit card (automatic) , $55.65 ," $2,688.85 ",0
 5590-ZSKRV , Female ,8,1,0, DSL ,1,0, Month-to-month , Mailed check , $54.65 , $482.25 ,0
 0191-ZHSKZ , Male ,30,1,0, DSL ,1,0, Month-to-month , Electronic check , $74.75 ," $2,111.30 ",0
 5919-TMRGD , Female ,1,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $79.35 , $79.35 ,1
 9191-MYQKX , Female ,7,1,0, Fiber optic ,0,1, Month-to-month , Bank transfer (automatic) , $75.15 , $496.90 ,1
 9919-YLNNG , Female ,42,1,0, Fiber optic ,0,1, Month-to-month , Bank transfer (automatic) , $103.80 ," $4,327.50 ",0
 4445-ZJNMU , Male ,9,1,1, Fiber optic ,0,0, Month-to-month , Credit card (automatic) , $99.30 , $918.75 ,0
 4808-YNLEU , Female ,35,1,0, DSL ,1,0, One year , Bank transfer (automatic) , $62.15 ," $2,215.45 ",0
 4767-HZZHQ , Male ,30,1,0, Fiber optic ,0,1, Month-to-month , Bank transfer (automatic) , $82.05 ," $2,570.20 ",0
 2424-WVHPL , Male ,1,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $74.70 , $74.70 ,0
 7233-PAHHL , Male ,66,1,1, DSL ,1,1, Two year , Mailed check , $84.00 ," $5,714.25 ",0
 6067-NGCEU , Female ,65,1,1, Fiber optic ,1,1, Month-to-month , Credit card (automatic) , $111.05 ," $7,107.00 ",0
 9848-JQJTX , Male ,72,1,1, Fiber optic ,0,1, Two year , Bank transfer (automatic) , $100.90 ," $7,459.05 ",0
 8637-XJIVR , Female ,12,1,1, Fiber optic ,1,0, Month-to-month , Electronic check , $78.95 , $927.35 ,1
 9803-FTJCG , Male ,71,1,1, DSL ,1,0, One year , Credit card (automatic) , $66.85 ," $4,748.70 ",0
 4598-XLKNJ , Female ,25,1,0, Fiber optic ,0,1, Month-to-month , Electronic check , $98.50 ," $2,514.50 ",1
 7123-WQUHX , Male ,38,1,1, Fiber optic ,0,1, One year , Bank transfer (automatic) , $95.00 ," $3,605.60 ",0
 3192-NQECA , Male ,68,1,1, Fiber optic ,0,1, Two year , Bank transfer (automatic) , $110.00 ," $7,611.85 ",1
 6728-DKUCO , Female ,72,1,1, Fiber optic ,1,0, One year , Electronic check , $104.15 ," $7,303.05 ",0
 8597-CWYHH , Male ,43,1,1, Fiber optic ,0,0, One year , Mailed check , $94.35 ," $3,921.30 ",0
 0486-HECZI , Male ,55,1,1, Fiber optic ,1,0, Month-to-month , Electronic check , $96.75 ," $5,238.90 ",1
 4549-ZDQYY , Female ,52,1,0, DSL ,1,1, One year , Credit card (automatic) , $57.95 ," $3,042.25 ",0
 5712-AHQNN , Female ,43,1,0, Fiber optic ,0,1, Month-to-month , Electronic check , $91.65 ," $3,954.10 ",0
 4846-WHAFZ , Female ,37,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $76.50 ," $2,868.15 ",1
 3071-VBYPO , Male ,3,1,0, Fiber optic ,1,0, Month-to-month , Electronic check , $89.85 , $248.40 ,0
 5299-RULOA , Female ,10,1,1, Fiber optic ,1,0, Month-to-month , Electronic check , $100.25 ," $1,064.65 ",1
 9445-ZUEQE , Male ,27,1,1, Fiber optic ,0,0, Month-to-month , Credit card (automatic) , $85.20 ," $2,151.60 ",0
 1091-SOZGA , Female ,56,1,1, Fiber optic ,0,1, One year , Credit card (automatic) , $99.80 ," $5,515.45 ",0
 0404-SWRVG , Male ,3,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $74.40 , $229.55 ,1
 6497-TILVL , Female ,7,1,0, DSL ,1,0, Month-to-month , Mailed check , $50.70 , $350.35 ,0
 4622-YNKIJ , Male ,33,1,0, Fiber optic ,1,0, Two year , Electronic check , $88.95 ," $3,027.65 ",0
 4412-YLTKF , Female ,27,1,1, Fiber optic ,0,1, Month-to-month , Electronic check , $78.05 ," $2,135.50 ",1
 2876-GZYZC , Female ,13,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $85.95 ," $1,215.65 ",0
 8587-XYZSF , Male ,67,1,0, DSL ,0,0, Two year , Bank transfer (automatic) , $50.55 ," $3,260.10 ",0
 2372-HWUHI , Male ,2,1,0, DSL ,0,0, Month-to-month , Electronic check , $44.35 , $81.25 ,1
 7850-VWJUU , Female ,23,1,0, Fiber optic ,1,0, Month-to-month , Bank transfer (automatic) , $75.00 ," $1,778.50 ",0
 0390-DCFDQ , Female ,1,1,0, Fiber optic ,0,0, Month-to-month , Mailed check , $70.45 , $70.45 ,1
 3146-MSEGF , Female ,72,1,1, DSL ,1,1, Two year , Credit card (automatic) , $88.05 ," $6,425.65 ",0
 4080-OGPJL , Female ,8,1,1, DSL ,1,0, Month-to-month , Electronic check , $71.15 , $563.65 ,1
 1095-WGNGG , Female ,61,1,1, Fiber optic ,0,0, Two year , Bank transfer (automatic) , $101.05 ," $5,971.25 ",0
 2636-SJDOU , Male ,64,1,1, Fiber optic ,1,0, One year , Credit card (automatic) , $84.30 ," $5,289.05 ",0
 5716-EZXZN , Female ,65,1,1, Fiber optic ,1,0, Two year , Credit card (automatic) , $99.05 ," $6,416.70 ",0
 2135-RXIHG , Male ,1,1,0, DSL ,0,0, Month-to-month , Electronic check , $45.65 , $45.65 ,1
 6440-DKQGE , Male ,30,1,0, DSL ,0,1, One year , Credit card (automatic) , $64.50 ," $1,929.95 ",0
 3466-BYAVD , Male ,15,1,0, DSL ,0,1, Month-to-month , Mailed check , $69.50 ," $1,071.40 ",0
 3780-YVMFA , Female ,8,1,0, DSL ,0,0, Month-to-month , Electronic check , $68.55 , $564.35 ,0
 3874-EQOEP , Male ,7,1,1, Fiber optic ,0,0, Month-to-month , Mailed check , $95.00 , $655.50 ,1
 1679-JRFBR , Female ,70,1,1, Fiber optic ,1,1, One year , Credit card (automatic) , $108.15 ," $7,930.55 ",0
 9073-ZZIAY , Male ,62,1,0, DSL ,1,1, Two year , Electronic check , $86.10 ," $5,215.25 ",0
 6551-GNYDG , Female ,14,1,0, Fiber optic ,0,0, Month-to-month , Bank transfer (automatic) , $80.90 ," $1,152.80 ",0
 9167-APMXZ , Female ,22,1,1, Fiber optic ,0,0, Month-to-month , Bank transfer (automatic) , $84.15 ," $1,821.95 ",0
 6371-NZYEG , Male ,16,1,0, DSL ,1,1, Two year , Mailed check , $64.25 ," $1,024.00 ",0
 8992-VONJD , Female ,13,1,0, DSL ,1,0, Month-to-month , Electronic check , $56.00 , $764.55 ,0
 0867-MKZVY , Female ,20,1,1, Fiber optic ,1,0, Month-to-month , Electronic check , $82.40 ," $1,592.35 ",1
 4482-EWFMI , Female ,2,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $69.70 , $135.20 ,0
 4648-YPBTM , Male ,53,1,1, DSL ,0,1, Two year , Bank transfer (automatic) , $73.90 ," $3,958.25 ",0
 3376-BMGFE , Female ,4,1,0, Fiber optic ,0,0, Month-to-month , Bank transfer (automatic) , $70.90 , $273.00 ,1
 5997-OPVFA , Male ,72,1,1, DSL ,1,1, Two year , Bank transfer (automatic) , $89.05 ," $6,254.45 ",0
 7654-YWJUF , Male ,43,1,0, Fiber optic ,1,1, One year , Bank transfer (automatic) , $84.25 ," $3,539.25 ",0
 1875-QIVME , Female ,2,1,1, Fiber optic ,0,1, Month-to-month , Electronic check , $104.40 , $242.80 ,1
 6727-IOTLZ , Male ,14,1,0, DSL ,0,1, Two year , Mailed check , $81.95 ," $1,181.75 ",0
 0691-JVSYA , Female ,53,1,0, Fiber optic ,0,1, One year , Bank transfer (automatic) , $94.85 ," $5,000.20 ",1
 2656-FMOKZ , Female ,15,1,1, Fiber optic ,0,0, Month-to-month , Mailed check , $74.45 ," $1,145.70 ",1
 2070-FNEXE , Female ,7,1,0, Fiber optic ,1,0, Month-to-month , Bank transfer (automatic) , $76.45 , $503.60 ,1
 5947-SGKCL , Female ,15,1,1, Fiber optic ,0,1, Month-to-month , Bank transfer (automatic) , $105.35 ," $1,559.25 ",0
 6582-OIVSP , Female ,1,1,0, DSL ,0,0, Month-to-month , Mailed check , $45.30 , $45.30 ,0
 9367-WXLCH , Male ,8,1,1, Fiber optic ,0,0, Month-to-month , Bank transfer (automatic) , $84.50 , $662.65 ,1
 5524-KHNJP , Male ,33,1,0, DSL ,1,1, One year , Credit card (automatic) , $74.75 ," $2,453.30 ",0
 1918-ZBFQJ , Female ,13,1,0, Fiber optic ,0,1, Month-to-month , Electronic check , $79.25 ," $1,111.65 ",1
 4827-USJHP , Male ,20,1,0, DSL ,0,0, Month-to-month , Mailed check , $51.80 ," $1,023.85 ",0
 8017-UVSZU , Female ,40,1,1, DSL ,0,0, Month-to-month , Credit card (automatic) , $56.60 ," $2,379.10 ",0
 7100-FQPRV , Male ,43,1,1, DSL ,1,0, One year , Credit card (automatic) , $71.90 ," $3,173.35 ",0
 2472-OVKUP , Male ,6,1,0, Fiber optic ,0,1, Month-to-month , Electronic check , $91.00 , $531.00 ,1
 9680-NIAUV , Female ,72,1,1, Fiber optic ,1,1, Two year , Credit card (automatic) , $109.70 ," $8,129.30 ",0
 2604-IJPDU , Female ,20,1,0, Fiber optic ,1,0, Month-to-month , Electronic check , $96.55 ," $1,901.65 ",0
 6168-YBYNP , Male ,59,1,1, Fiber optic ,0,1, Month-to-month , Electronic check , $111.35 ," $6,519.75 ",0
 7255-SSFBC , Male ,72,1,1, Fiber optic ,0,1, Two year , Bank transfer (automatic) , $112.25 ," $8,041.65 ",0
 9323-HGFWY , Female ,27,1,0, Fiber optic ,1,0, One year , Credit card (automatic) , $101.90 ," $2,681.15 ",0
 8544-GOQSH , Female ,14,1,0, Fiber optic ,0,0, Month-to-month , Credit card (automatic) , $80.05 ," $1,112.30 ",0
 3363-DTIVD , Male ,71,1,1, Fiber optic ,1,1, Two year , Electronic check , $105.55 ," $7,405.50 ",0
 7018-WBJNK , Male ,13,1,0, Fiber optic ,0,0, Month-to-month , Credit card (automatic) , $78.30 ," $1,033.95 ",0
 9142-KZXOP , Male ,44,1,0, Fiber optic ,0,0, Month-to-month , Credit card (automatic) , $68.85 ," $2,958.95 ",0
 7674-YTAFD , Female ,33,1,0, Fiber optic ,0,0, One year , Bank transfer (automatic) , $79.95 ," $2,684.85 ",0
 1285-OKIPP , Male ,1,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $79.90 , $79.90 ,1
 7825-ECJRF , Female ,19,1,0, Fiber optic ,1,1, Month-to-month , Electronic check , $106.60 ," $1,934.45 ",1
 1347-KTTTA , Male ,64,1,0, Fiber optic ,0,1, One year , Credit card (automatic) , $102.45 ," $6,654.10 ",0
 7841-TZDMQ , Male ,2,1,0, DSL ,0,0, Month-to-month , Credit card (automatic) , $46.00 , $84.50 ,1
 2504-DSHIH , Male ,23,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $86.80 ," $1,975.85 ",0
 2040-LDIWQ , Male ,65,1,1, DSL ,0,1, Two year , Bank transfer (automatic) , $84.20 ," $5,324.50 ",0
 6496-JDSSB , Female ,8,1,0, Fiber optic ,0,0, Month-to-month , Bank transfer (automatic) , $80.00 , $624.60 ,0
 9408-SSNVZ , Female ,4,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $70.15 , $268.35 ,1
 0742-MOABM , Male ,4,1,0, DSL ,0,0, Month-to-month , Mailed check , $50.05 , $179.35 ,1
 6341-JVQGF , Female ,31,1,0, DSL ,1,1, One year , Mailed check , $81.15 ," $2,545.75 ",0
 2232-DMLXU , Female ,1,1,0, DSL ,0,0, Month-to-month , Mailed check , $55.20 , $55.20 ,1
 4811-JBUVU , Male ,30,1,1, Fiber optic ,0,0, Month-to-month , Credit card (automatic) , $89.90 ," $2,723.15 ",0
 0945-TSONX , Female ,47,1,1, DSL ,1,0, Two year , Credit card (automatic) , $85.30 ," $4,107.25 ",0
 2651-ZCBXV , Male ,54,1,1, Fiber optic ,1,0, Two year , Credit card (automatic) , $108.00 ," $5,760.65 ",0
 3316-UWXUY , Male ,50,1,0, Fiber optic ,1,0, Month-to-month , Credit card (automatic) , $93.50 ," $4,747.50 ",0
 8937-RDTHP , Male ,1,1,0, Fiber optic ,1,0, Month-to-month , Mailed check , $84.60 , $84.60 ,1
 1251-KRREG , Male ,2,1,1, DSL ,0,0, Month-to-month , Mailed check , $54.40 , $114.10 ,1
 9903-LYSAB , Male ,18,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $73.15 ," $1,305.95 ",0
 0094-OIFMO , Female ,11,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $95.00 ," $1,120.30 ",1
 7301-ABVAD , Female ,72,1,1, DSL ,0,1, Two year , Bank transfer (automatic) , $86.60 ," $6,350.50 ",0
 6614-FHDBO , Male ,72,1,1, Fiber optic ,0,1, Two year , Bank transfer (automatic) , $109.20 ," $7,878.30 ",0
 7576-ASEJU , Female ,41,1,0, DSL ,1,0, One year , Credit card (automatic) , $74.70 ," $3,187.65 ",0
 9058-HRZSV , Female ,65,1,0, Fiber optic ,1,1, Month-to-month , Electronic check , $94.40 ," $6,126.15 ",0
 4522-AKYLR , Female ,13,1,0, DSL ,0,1, Month-to-month , Electronic check , $54.80 , $731.30 ,0
 0221-WMXNQ , Male ,4,1,0, Fiber optic ,1,0, Month-to-month , Electronic check , $75.35 , $273.40 ,0
 0303-UNCIP , Male ,41,1,1, DSL ,0,1, One year , Mailed check , $65.00 ," $2,531.80 ",0
 9947-OTFQU , Male ,15,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $74.40 ," $1,074.30 ",1
 0322-YINQP , Male ,1,1,0, DSL ,1,0, Month-to-month , Mailed check , $48.55 , $48.55 ,1
 0959-WHOKV , Male ,42,1,1, Fiber optic ,1,1, One year , Electronic check , $99.00 ," $4,298.45 ",0
 4075-JFPGR , Female ,51,1,0, Fiber optic ,1,1, One year , Electronic check , $93.50 ," $4,619.55 ",0
 4629-NRXKX , Female ,2,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $70.40 , $147.15 ,1
 3282-ZISZV , Male ,32,1,1, DSL ,0,1, One year , Credit card (automatic) , $83.70 ," $2,633.30 ",0
 7017-VFHAY , Female ,61,1,1, Fiber optic ,1,1, Two year , Credit card (automatic) , $115.10 ," $7,008.15 ",0
 6655-LHBYW , Male ,50,1,1, Fiber optic ,1,1, One year , Credit card (automatic) , $114.35 ," $5,791.10 ",0
 4959-JOSRX , Female ,2,1,0, DSL ,0,0, Month-to-month , Credit card (automatic) , $44.60 , $80.55 ,1
 3606-TWKGI , Male ,13,1,1, Fiber optic ,0,1, Month-to-month , Electronic check , $106.90 ," $1,364.30 ",1
 7529-ZDFXI , Male ,57,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $89.85 ," $4,925.35 ",0
 1950-KSVVJ , Female ,45,1,1, Fiber optic ,1,1, One year , Mailed check , $113.30 ," $5,032.25 ",0
 0123-CRBRT , Female ,61,1,1, DSL ,1,1, Two year , Mailed check , $88.10 ," $5,526.75 ",0
 3197-ARFOY , Female ,19,1,0, Fiber optic ,1,0, Month-to-month , Mailed check , $105.00 ," $2,007.25 ",0
 4385-GZQXV , Female ,16,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $94.45 ," $1,511.20 ",1
 7633-MVPUY , Male ,57,1,0, DSL ,1,0, Two year , Electronic check , $59.75 ," $3,450.15 ",0
 4716-HHKQH , Male ,20,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $107.05 ," $2,172.05 ",0
 5940-AHUHD , Male ,1,1,0, Fiber optic ,0,0, Month-to-month , Mailed check , $70.60 , $70.60 ,1
 6432-TWQLB , Male ,5,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $85.40 , $401.10 ,1
 4484-GLZOU , Female ,52,1,1, Fiber optic ,0,1, Month-to-month , Electronic check , $105.05 ," $5,624.85 ",1
 3179-GBRWV , Male ,21,1,0, DSL ,1,0, Month-to-month , Bank transfer (automatic) , $64.95 ," $1,339.80 ",0
 4130-MZLCC , Female ,5,1,0, DSL ,0,0, Month-to-month , Bank transfer (automatic) , $50.55 , $244.75 ,0
 0314-TKOSI , Female ,6,1,0, DSL ,1,0, Month-to-month , Mailed check , $55.15 , $322.90 ,0
 8229-MYEJZ , Female ,10,1,0, DSL ,0,0, Month-to-month , Electronic check , $51.20 , $498.25 ,0
 9577-WJVCQ , Female ,68,1,1, DSL ,1,0, Month-to-month , Mailed check , $54.45 ," $3,687.75 ",0
 9512-UIBFX , Male ,18,1,0, Fiber optic ,0,1, Month-to-month , Mailed check , $95.15 ," $1,779.95 ",1
 6202-DYYFX , Female ,22,1,1, Fiber optic ,0,0, One year , Credit card (automatic) , $76.00 ," $1,783.60 ",0
 3808-HFKDE , Female ,20,1,0, DSL ,0,0, Month-to-month , Electronic check , $44.35 , $927.15 ,0
 5583-SXDAG , Male ,1,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $70.00 , $70.00 ,1
 3488-PGMQJ , Male ,8,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $74.50 , $606.55 ,1
 3580-REOAC , Male ,10,1,0, DSL ,0,0, Month-to-month , Credit card (automatic) , $44.85 , $435.40 ,1
 7534-BFESC , Male ,24,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $76.10 ," $1,712.70 ",1
 3727-OWVYD , Male ,35,1,0, DSL ,1,1, One year , Mailed check , $61.20 ," $2,021.20 ",0
 2294-SALNE , Male ,23,1,0, Fiber optic ,0,1, One year , Mailed check , $86.80 ," $1,940.80 ",0
 4847-TAJYI , Female ,6,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $89.35 , $567.80 ,0
 6556-DBKZF , Female ,71,1,0, Fiber optic ,0,1, Two year , Electronic check , $76.05 ," $5,436.45 ",0
 6851-WEFYX , Male ,35,1,1, Fiber optic ,0,1, Month-to-month , Electronic check , $100.80 ," $3,437.50 ",0
 2985-JUUBZ , Male ,40,1,1, DSL ,0,1, Month-to-month , Electronic check , $74.55 ," $3,015.75 ",0
 6390-DSAZX , Female ,1,1,0, Fiber optic ,1,0, Month-to-month , Mailed check , $73.60 , $73.60 ,1
 0895-LMRSF , Male ,23,1,0, DSL ,0,0, One year , Bank transfer (automatic) , $64.90 ," $1,509.80 ",0
 8098-LLAZX , Female ,4,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $95.45 , $396.10 ,1
 8266-VBFQL , Male ,4,1,0, Fiber optic ,0,1, Month-to-month , Electronic check , $90.40 , $356.65 ,0
 2240-HSJQD , Male ,38,1,1, Fiber optic ,0,0, Month-to-month , Mailed check , $81.85 ," $3,141.70 ",0
 0265-EDXBD , Male ,32,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $74.90 ," $2,303.35 ",1
 4115-BNPJY , Male ,29,1,0, DSL ,0,1, Two year , Mailed check , $75.55 ," $2,054.40 ",0
 3167-SNQPL , Male ,38,1,1, Fiber optic ,0,0, Month-to-month , Electronic check , $101.15 ," $3,741.85 ",0
 4091-TVOCN , Male ,48,1,1, DSL ,1,1, One year , Credit card (automatic) , $78.75 ," $3,682.45 ",0
 7277-OZCGZ , Female ,22,1,0, Fiber optic ,1,0, Month-to-month , Electronic check , $89.05 ," $1,886.25 ",0
 1557-EMYVT , Female ,43,1,1, Fiber optic ,1,1, Two year , Credit card (automatic) , $115.05 ," $4,895.10 ",0
 2799-ARNLO , Female ,5,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $69.35 , $341.60 ,0
 7563-BIUPC , Male ,5,1,0, Fiber optic ,0,0, Month-to-month , Electronic check , $80.60 , $415.55 ,1
 5027-YOCXN , Male ,51,1,1, Fiber optic ,1,0, One year , Credit card (automatic) , $110.05 ," $5,686.40 ",0
 2321-OMBXY , Female ,38,1,0, DSL ,1,0, One year , Credit card (automatic) , $80.30 ," $3,058.65 ",1
 2840-XANRC , Male ,24,1,0, Fiber optic ,0,1, Month-to-month , Electronic check , $93.15 ," $2,231.05 ",1
 6745-JEFZB , Male ,35,1,1, Fiber optic ,0,0, Month-to-month , Credit card (automatic) , $91.50 ," $3,236.35 ",0
